producer,contact_name,street_address,city,province,postal_code,phone,fax,email,website,hours,brands
Pictou County Pizza Inc.,Doug Bonvie,814 Abercrombie Road,New Glasgow,Nova Scotia,B2H 5C6,(902) 695-3037,NULL,pcp@eastlink.ca,http://www.pictoucountypizza.com,Sunday to Thursday: 4 pm to 12 am Friday: 12 pm to 1 am Saturday: 4 pm to 1 am,Pictou County Pizza
Pie r Squared,Heather Lunan,35 Minas View Drive,Wolfville,NULL,B4P 2H8,(902) 697-2502,NULL,info@pie-r-squared.com,http://www.pie-r-squared.com,Our savoury meat pies and quiches are sold through the following venues:  - Wolfville Farmers' Market  - Kentville Farmers' Market  - Kingsport Farmers' Market  - Tan's Cafe  - Porter's Farm Market  - Tap Root Farms CSA  - Thursday lunch delivery service  - On demand catering,NULL
Piedmont Valley Farms,Trudi Rhynold,2063 Piedmont Valley Road,Merigomish,Nova Scotia,B0K 1G0,1 (902) 926-2634,NULL,piedmontvalleyfarms@gmail.com,https://piedmontvalleyfarms.com,Merigomish Schoolhouse Market & Cafe Sundays 10 - 1 June to mid-Dec.  Farm gate by appointment,NULL
Pinnacle Farms,NULL,7729 Route 321,Roslin,NULL,B0K 1K0,1 (902) 447-3600,NULL,sales@pinnaclefarms.com,http://www.pinnaclefarms.ca,Available at our farm store or Healthy Habits in Truro.,NULL
Piping Hot Bake Shop,Teil Korneski,321 Main St,Liverpool,Nova Scotia,B0T 1K0,1 (902) 356-3434,NULL,teil@eastlink.ca,NULL,"Tuesday - friday, 9am to 5:30pm Saturday, 9am to 5pm",NULL
Planters Ridge Winery,Planters Ridge,1441 Church St,Port Williams,Nova Scotia,B0P 1T0,1 (902) 542-2711,NULL,info@plantersridge.ca,http://plantersridge.ca,"June to December: Mon to Sat 10:30am-5:30pm Sun 12pm-5pm  Winter hours: Open Fridays, Saturdays, & Sundays (check website for operational hours).",NULL
Pleasant Valley Pure Springs Limited,Mike Walker,345 Hwy #1 Dayton,Yarmouth,NULL,B5A 4A5,(902) 749-1114,NULL,pleasant@bellaliant.com,http://www.facebook.com/PleasantValleyPureSprings,"Open Mon - Fri, 9-5",NULL
Porter's Farm Market,Mike or Eric Porter,688 Belcher Street,Port Williams,Nova Scotia,B0P 1T0,1 (902) 680-6416,NULL,eric.porter@ns.sympatico.ca,NULL,12 to 6 Mon - Fri 9 to 5 Sat,NULL
Privateer Farmers' Market,Market Manager,"Centennial Park, Henry Hensey Dr",Liverpool,Nova Scotia,B0T1K0,NULL,NULL,privateermarket.ns@gmail.com,NULL,Saturdays 9am-1pm  Weekly from Victoria Day weekend until Thanksgiving weekend,NULL
Propeller Brewing Co.,NULL,2015 Gottingen Street,Halifax,NULL,B3L 1N9,(902) 422-7767,NULL,brew@drinkpropeller.ca,http://www.drinkpropeller.ca,NULL,"Extra Special Bitter, Porter, Honey Wheat Beer, Pale Ale, Root Beer, Ginger Beer, Orange Soda, Vanilla Cream Soda"
Prospect Communities Farmers Market,Amy Hockin,2141 Prospect Road,Hatchet Lake,Nova Scotia,b3t1a1,(902) 852-2711,NULL,farmersmarket@prospectcommunities.com,http://www.prospectcommunities.com,"Sunday's, bi-weekly, beginning May 6th, from 11am-3pm",NULL
Pugwash Farmers Market,Jennifer Houghtaling,102224 Durham Street,Pugwash,Nova Scotia,B0K 1L0,1 (902) 243-2918,NULL,jenniferhoughtaling@gmail.com,http://www.pugwashfarmersmarket.com,Open Saturdays from may-October between 8:30am and 1:00pm,NULL
Pure Product Agent,renerobichaud@eastlink.ca,105 Baker Drive Unit 104,Dartmouth,Nova Scotia,NULL,1 (902) 225-1031,NULL,renerobichaud@eastlink.ca,http://www.pureproductagent.com,Saturdays: 8am to 1pm- retail outlet Dartmouth and Halifax. Kelp spray: Tuesday to Sunday: Seaport Market,NULL
Quinn's Strawberry U-Pick,NULL,MacIntosh Road,Millville,NULL,NULL,(902) 674-2517,NULL,NULL,NULL,For all U-picks please call ahead for hours and season of operation.,NULL
Ran-Cher Acres,"Randy/Cheryl Hiltz, Owners",744 Canaan Road,Aylesford,NULL,B0P 1C0,1 (902) 847-3895,NULL,ran_cher_acres@eastlink.ca,http://www.rancheracres.com,NULL,Ran-Cher Acres
Rapure Acadienne Ltd.,Curtis Gaudet,"RR #1, Civic #1443 Church Point, PO Box 233",Church Point,NULL,B0W 1M0,1 (902) 769-2172,1 (902) 769-2413,kim.cote1@ns.sympatico.ca,NULL,NULL,Rapure Acadienne Ltd.
Red Mountain Farm,NULL,466 East Montrose Rd. RR1,Bass River,Nova Scotia,B0M 1B0,1 (902) 647-2957,NULL,NULL,NULL,Open throughout the week - call to confirm  Cell: (902) 899-2816  Products also available at the Truro Farmers Market Saturday Mornings,NULL
Reimer Gardens,Gerald Reimer,2121 Black Rock Road,Waterville,Nova Scotia,B0P 1V0,(902) 538-9319,(902) 538-0143,info@reimergardens.com,http://www.reimergardens.com,"Pre-picked fruit available. Rose plants for sale and a limited amount of seasonal vegetables.  For U-Picks, please call ahead for hours and season of operation",NULL
Rendell's Farm,NULL,95 Point Aconi Rd,Englishtown,NULL,B0C 1B0,1 (902) 736-1547,1 (902) 736-0623,NULL,NULL,For all U-picks please call ahead for hours and season of operation.,NULL
Rhubarb Restaurant,NULL,8650 Peggys Cove Road,Indian Harbour,Nova Scotia,B3Z 3P4,NULL,NULL,NULL,NULL,NULL,NULL
Rings's Country Market,Carol Ring,7886 Highway 101,Barton,Nova Scotia,B0W 2R0,(902) 308-1227,NULL,keith.ring@ns.sympatico.ca,NULL,OPEN Tuesday to Saturday 12 noon to 6 pm or by chance or by appointment,NULL
River Breeze Farm and Corn Maze,NULL,660 Onslow Road,Truro,Nova Scotia,B2N 5B3,(902) 895-5138,NULL,NULL,http://www.riverbreeze.info,U-Pick strawberries and pumpkins in season.  For all U-picks please call ahead for hours and season of operation.,NULL
River John Farmers Market,NULL,1389 Louisville Rd.,River John,Nova Scotia,B0K 1N0,1 (902) 351-2594,NULL,NULL,NULL,NULL,NULL
River View Herbs,Jim Bruce,8907 Hwy 215,Maitland,Nova Scotia,B0N 1T0,1 (902) 261-2109,1 (902) 261-2427,riverview.herbs@ns.sympatico.ca,http://www.riverviewherbs.com/,NULL,River View Herbs
Riverview Produce Farms,NULL,73A Starrs Rd.,Yarmouth,Nova Scotia,B5A 2T5,(902) 742-0493,NULL,riverviewproducefarms@gmail.com,NULL,"Monday to Saturday, 8am-5pm",NULL
Robertson's Candy,"Paul Furlong, Leisa Furlong",43 Charles Street,Truro,Nova Scotia,B2N 1X2,(902) 895-1708,(902) 897-0213,sales@rcandy.com,http://www.rcandy.com,NULL,"Robertson's Candy, Signature Series"
Robertsons Farm & Apothecary,Rachael Robertson,754 Canaan Mountain Road,Canaan,Nova Scotia,B4N 4K1,1 (902) 993-0059,NULL,rachrobbo1980@gmail.com,NULL,NULL,NULL
Robichaud's Mincemeat,"Delbert Robichaud, Rick Robichaud",113 Main Street,Meteghan,NULL,B0W 2J0,(902) 645-2424,(902) 645-3093,NULL,NULL,NULL,NULL
Rocky Knoll Farm,NULL,2062 Hwy 14 Centre Rawdon,NULL,Nova Scotia,B0N 2N0,(902) 883-0483,(902) 632-2422,NULL,http://www.withrowsfarmmarket.ca,NULL,NULL
Rooyakkers Farm Limited,Martin Rooyakkers,RR #1 West Bay Road,West Bay,NULL,B0E 3L0,(902) 625-2131,(902) 625-5249,NULL,NULL,NULL,NULL
Rosemary's Chocolates,NULL,1535 Dresden Row,Halifax,NULL,B3K 4P6,1 (902) 454-9588,1 (902) 455-1445,rosemaryschocolates@hotmail.com,http://www.rosemarychocolates.com,NULL,NULL
Rousseau Chocolatier,Nathalie Morin,1277 Hollis Street,Halifax,Nova Scotia,B3J 1T7,(902) 802-6463,NULL,info@rousseauchocolatier.ca,http://www.rousseauchocolatier.ca,Monday to Friday 10 - 6 pm Saturday 10 - 5 pm Sunday 11 - 5 pm,NULL
Rural Roots Market,Carol Millett,4568 Highway 12,New Ross,Nova Scotia,B0J 2M0,1 (902) 599-1207,NULL,info@ruralrootsmarket.ca,http://www.ruralrootsmarket.ca,Open Sundays 10 AM - 2 PM.,NULL
Sable River Country Market,Cindy Embree,1552 Hwy 103,Sable River,NULL,B0T 1V0,(902) 656-2793,NULL,scembree@auracom.com,NULL,"10 - 1  Thursdays and Saturdays  Saturdays at Foote's Irving 10am - 1pm Collectables, Yard Sales, Seedlings, Baking, BBQ All Vendors Welcome: No Vendor Fee  Start Date:  May 29   Thursdays at Decker's ESSO 10am - 1pm Crafts, Meat, Fish, Produce, Pasta, Plants, BBQ All Vendors Welcome: No Vendor Fee Start Date:  June 3    For info call Cindy at 656-2793 or Alice at 874-1858",NULL
Sainte-Famille Wines,Ellen Hart,11 Dudley Park Lane,Falmouth,Nova Scotia,B0P 1L0,1 (902) 798-8311,1 (902) 798-9418,ehart@st-famille.com,http://www.st-famille.com,Monday to Saturday 9:00 a.m. to 5:00 p.m. Sunday 11:00 a.m. to 5:00 p.m. Closed on Sundays from January 1st to May 1st,NULL
Salmontail River Farm,Helen and Neil Jarvis,"161, Legge Rd,",Kentville,Nova Scotia,B4N 3V8,1 (902) 670-9980,NULL,jarvisnelly@hotmail.ca,http://www.salmontailriverfarm.com,by arrangement anytime,NULL
Sauceworks Limited,Scott MacCulloch,"10 Akerley Blvd, Unit 63",Dartmouth,NULL,B3B 1J4,(902) 835-2050,(902) 835-6815,NULL,NULL,NULL,Red Fox Sauce
Scenic Valley Farm,Peter & Elizabeth LeBlanc,2066 East Margaree Rd.,Margaree,Nova Scotia,B0E 2B0,1 (403) 445-1748,NULL,lebpeter@hotmail.com,NULL,"Community Shared Agriculture (CSA) program - weekly produce box for shareholders in Margaree, Cheticamp, and Sydney.  Products also available at the Baddeck Farmers' Market on Wed 11am-2pm, and the Cheticamp Farmers' Market Sat 10am-1pm.",NULL
Schoolhouse Gluten - Free Gourmet,Jennifer Laughlin,7014 Highway #3,Martins Point,Nova Scotia,B0J 2E0,(902) 273-2482,NULL,info@schoolhouseglutenfreegourmet.com,http://www.schoolhouseglutenfreegourmet.com,"We are a small business that provides artisan locally-made gluten-free products in Martins Point.  Specifically, our products include: Potato-Millet bread, focaccia rounds, granola, dark chocolate cranberry cookies, gingersnaps, brownie bites, pumpkin muffins, and butter tarts.  All products are free of: gluten, wheat, sulphites, sesame seeds, preservatives, additives and fillers.    We are proud members of the Lunenburg, Partners for Care, and Halifax Farmers' Markets.    Our products are also available at Pete's Frootique, Planet Organic, Perks, Juliens, Humani-T Cafe, Good Food Emporium, Emma's Eatery, Ma'Belles Cafe, Mariposa Natural Market, Chester Organics, Appleberry Market, and Healthy Bug and Natures Cove",Schoolhouse
Scotia Poultry Farm Ltd.,Jill Thomas,93 Bissett Lake Road,Cole Harbour,Nova Scotia,B2V 2T3,1 (902) 434-2138,1 (902) 434-7395,NULL,NULL,"MON-FRI 1PM-4:30PM, SAT & SUN - Closed","Scotia Poultry Farm, Nova Egg"
Scotian Gold Cooperative Limited,David Parrish,2900 Lovett Road,Coldbrook,Nova Scotia,B4R 1A6,1 (902) 679-2191,1 (902) 679-4540,david.parrish@scotiangold.com,http://www.scotiangold.com,NULL,Scotian Gold
Scotsburn Ice Cream Company,NULL,332 Willow St,Truro,Nova Scotia,B2N 5A5,(800) 511-6455,NULL,consumerservices@scotsburn.com,NULL,NULL,NULL
Sea Fever Rum,NULL,80 Main Street,Guysborough,Nova Scotia,B0H 1N0,1 (902) 533-2078,NULL,info@seafeverrum.com,http://www.seafeverrum.com/,NULL,NULL
Shani's Farm,Cheryl Williams,668 Hwy #236,Scotch Village,Nova Scotia,B0N 2A0,(902) 757-0262,NULL,clwilliams@eastlink.ca,http://www.shanisfarm.com/,"Available at the Wolfville Farmers Market, as well as farm gate by appointment.  Deliveries available on Wednesday to HRM with orders placed by Tuesday morning.  Community Shared Agriculture (CSA) program - where consumers purchase shares and receive a weekly box of seasonal produce. Weekly share runs from mid-June to Thanksgiving available for pick-up at the farm, Windsor, or Halifax.   Meat and preserves shares available as well. See Shani's Farm website for more details.   *All meats and eggs are free range, and grass/natural grain-fed",NULL
Shelburne Farmers Market,NULL,20 Maiden Lane,Shelburne,Nova Scotia,B0T 1W0,1 (902) 873-3199,NULL,NULL,http://www.shelburnensfarmersmarket.ca/,Saturdays 9 am to 1 pm June to October,NULL
Shepherd Family Christmas Trees,Rob Shepherd,3750 Black Rock Rd. Black Rock N.S,Black Rock,Nova Scotia,B0P1V0,(902) 538-7701,NULL,NULL,NULL,Open on Saturday and Sundays from 10:00am - 5:00pm Starting Nov 28th going till Dec. 20th,NULL
Shinimicas Honey & Herb Farm,Matthew Aldred,71 Shinimicas Road,Amherst,NULL,B4H 3Y2,(902) 661-4020,NULL,shinimicashoney@gmail.com,http://www.shinimicas.com,"Everyday in August, from 10am - 3pm",NULL
ShipBuilders Cider Limited,NULL,1559 Brunswick Street,Halifax,Nova Scotia,B3J 2G1,NULL,NULL,mail@stutzcider.com,http://www.shipbuilderscider.ca/,NULL,NULL
Shivani's kitchen,Shivani Dhamija,16 tayberry court,Halifax,NS,B3s 1l1,1 (902) 482-7714,NULL,shivani@shivaniskitchen.ca,http://www.shivaniskitchen.ca,NULL,shivanis kitchen
"Shore Things, Fisherman's Cove, Eastern Passage",NULL,8 Wharf Road,Eastern Passage,Nova Scotia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sister's Alternative Stuff,NULL,6 Sherwood Drive,Wolfville,Nova Scotia,B4P 2J9,1 (902) 542-1135,NULL,info@sistersalternativestuff.com,NULL,NULL,NULL
Snowy River Farms,Amy and David Hill,15439 HWY 224,Cooks Brook,Nova Scotia,B0N 2H0,1 (902) 802-0450,NULL,info@snowyriverfarms.com,http://www.snowyriverfarms.com,"Our products are available in shares as part of our CSA, or at the Truro Farmers' Market.  CSA drop-off locations are Halifax, Dartmouth, Truro and Shubenacadie.  Visit us at the Truro Farmers Market on Wednesdays from 12-6  we are a heritage farm specializing in heirloom variety produce and herbs and heritage livestock. We also practice complete pasture grazing with all animals including poultry and we do not feed commercial feeds, rather we use a whole grain mixture that we have created which excludes the use of corn.",NULL
Soft Fruit Business Park,Islam Ellaithy,822 hwy 236,Green Oaks,Nova Scotia,B6L1H9,(902) 410-9077,NULL,ilaithy@softfruitpark.com,http://www.strawberryhills.one,8am - 4pm,NULL
Spryfield Farmers' Market,Patti Clark,173 Old Sambro Rd,Halifax,Nova Scotia,B3R 2H6,(902) 225-5220,NULL,spryfieldmarketmgr@gmail.com,http://www.spryfieldmarket.ca,Every other Sunday  noon - 3 pm  2019 Season - Market Dates:  May 26 June 9 June 23 July 7 July 21 August 4 August 18 September 1 September 15 September 29 October 13 October 27,NULL
Spurr Brothers Farms Ltd.,"Gordon Spurr, Bill Spurr",144 Bridge Street,Kingston,Nova Scotia,B0P 1R0,(902) 765-4300,(902) 765-0970,NULL,http://www.facebook.com/SpurrBrothersFarms,NULL,Spurr Bros.
St. Mary's River smokehouses,NULL,P O Box 70 8000 Highway #7,Sherbrooke,NULL,B0J 3C0,1 (902) 522-2005,1 (902) 522-2051,info@thebestsmokedsalmon.com,http://www.thebestsmokedsalmon.com,NULL,St. Mary's RIver Smokehouse
Starr's Point Beef,David Acton,1724 Starr's Point Road P.O. Box 186,Port Williams,NULL,B0P 1T0,(902) 542-9299,NULL,nsbeef@hotmail.com,http://naturalbeefns.com/,NULL,NULL
Steep Hill Solutions Inc.,Brent Larson,#101-647 Bedford Hwy,Halifax,Nova Scotia,B3M 0A5,1 (888) 539-4716,(902) 252-9188,info@omegacrunch.com,http://www.omegacrunch.com,NULL,omega crunch
Still Fired Distilleries,Andrew Cameron,9543 Highway 8,Annapolis Royal,Nova Scotia,B0S 1A0,(902) 880-1338,NULL,stillfireddistilleries@gmail.com,http://www.stillfireddistilleries.com,Tuesday - Friday: 1200 - 1700 Saturday: 0900-1700 Sunday and Monday: Closed,NULL
Stirling Fruit Farms (Bible Hill),Hal Stirling,325 Main Street,Bible Hill,NULL,B2N 4H4,(902) 895-4956,NULL,hal@stirlingfruitfarms.ca,http://www.stirlingfruitfarms.ca,Open Year Round - 9-6,NULL
Stirling Fruit Farms (Blue Acres),Hal Stirling,339 Bridge Avenue,Blue Acres,NULL,B2H 5C5,1 (902) 755-2458,NULL,hal@stirlingfruitfarms.ca,http://www.stirlingfruitfarms.ca,Open Year Round - 9-6,NULL
Stirling Fruit Farms (Wolfville),Hal Stirling,10317 Hwy 1,Wolfville,NULL,B4P 2R2,(902) 542-2789,NULL,hal@stirlingfruitfarms.ca,http://www.stirlingfruitfarms.ca,Open Year Round - 9am - 6pm  We also have U-pick pumpkins.  For all U-picks please call ahead for hours and season of operation.,"Stirling Fruit Farms, Agri-Growers"
Stokdijk Greenhouses Ltd,Kimberly Stokdijk,1924 HWY 236,Beaver Brook,Nova Scotia,B6L1H3,(902) 895-4817,(902) 897-2402,info@stokdijk.com,http://www.stokdijk.com,"Office Hours M-F 9-3 Shop is open seasonally from April through November M-F 8-4, Sat 8-12",NULL
Stone Hearth Bakery,Scott Butler,"7071 Bayers Road, Suite LL05",Halifax,Nova Scotia,B3L 2C2,(902) 454-2851,(902) 454-2881,info@stonehearth.ca,http://www.stonehearth.ca/,NULL,Stone Hearth
Strattons Farm,Sally & Michael Knight,NULL,NULL,Nova Scotia,NULL,(902) 526-4440,NULL,strattonscsa@gmail.com,http://www.strattonsfarm.ca,Please call ahead.,NULL
Sugar Moon Farm,Quita Gray,"221 Alex MacDonald Road, RR#5",Earltown,Nova Scotia,B0K 1V0,1 (902) 657-3348,NULL,info@sugarmoon.ca,http://www.sugarmoon.ca,"SUMMER [June] Open Friday+Saturday+Sunday  9 am to 4 pm [July, August] Open 7 days/week 9 am - 4 pm Holiday hours? Check our website before coming.   FALL [September, October, November] Open Friday+Saturday+Sunday  9 am - 4 pm  Also open Thanksgiving Monday 9 am - 4 pm   WINTER [December, January, February]  Open Friday+Saturday+Sunday 10 am - 4 pm Holiday hours? Check our website before coming.   SPRING [March, April, May]      Open Friday+Saturday+Sunday 9 am - 4 pm Holiday hours? March Break? Check our website before coming.",Sugar Moon Farm
Yum Foods Limited,David Browning,94 Cedar Street,Windsor,Nova Scotia,B0N 2T0,1 (902) 792-2727,1 (902) 678-7740,yumfoodslimited@ns.sympatico.ca,http://www.facebook.com/YumBakery,NULL,"Naturally Nutty, Yum Bakery, Peanuts Only"
Suprima Farms Ltd.,Richard Hennigar,"1388 Middle Dyke Rd, RR #5",Canning,NULL,B0P 1H0,(902) 582-3044,(902) 582-7173,hennigar@xcountry.tv,NULL,"Available at Wolfville and Halifax Farmers Markets, Upper Stewiacke, home delivery through Home Grown Organic Foods in Metro Halifax, farm sales and U-pick by appointment.   Cider also available at Alderney Landing, Petes Frootique downtown lunch area, and Gaspereau Winery.",Apple Shivers
Sweet Bres Boulangerie,Shelley Raniowski,4 Angies Walk,Milford Station,Nova Scotia,B0N 1Y0,(902) 448-6127,NULL,shelley@sweetbres.ca,http://www.sweetbres.ca,"The Night Market Carroll's Corner Community Centre 5pm - 8:30pm  East Hants & environs Monday to Friday By appointment, pick up at bakery location Delivery - Mon  Wed, Fri after 6pm  HRM Delivery Please contact us for more information or to schedule a delivery.",Bakery
Sweet Spot Chocolate Shop,Nancy and Greg McTiernan,601 Hwy #2,Elmsdale,Nova Scotia,B2S 1A8,1 (902) 883-7417,NULL,nancy@sweetspotchocolateshop.com,https://sweetspotchocolateshop.com/,Open Daily.  Shop Online.,NULL
T&W Saskatoon Berry Farm,NULL,"1994 Lily Lake Road, RR 2",Middleton,NULL,B0S 1P0,1 (902) 825-2286,NULL,NULL,NULL,Please phone ahead for availability. Berries also available at Middleton Farmers Market in season.,NULL
Tangled Garden,Beverly McClare,11827 Hwy 1,Grand Pre,NULL,B0P 1M0,(902) 542-9811,(902) 542-9811,tangledgarden@ns.sympatico.ca,http://www.tangledgarden.ns.ca,NULL,Tangled Garden
Tantallon Village Farmers' Market,Market Manager: Ashley Marlin,"Redmond's Shopping Plaza, 5209 St Margaret's Bay Road",Upper Tantallon,Nova Scotia,B3Z1E3,(902) 277-1697,NULL,manager@tantallonvillagefarmersmarket.ca,http://www.tantallonvillagefarmersmarket.ca,Tuesdays May-October 2pm-6pm Redmonds Plaza at the cross roads of Hwy 3 and Hwy 333,NULL
Taproot Farms,Patricia Bishop,1736 Church Street,Port Williams,Nova Scotia,B0P 1T0,1 (902) 542-3277,NULL,patricia@taprootfarms.ca,http://www.taprootfarms.ca,"Community Shared Agriculture (CSA) program - where consumers have the opportunity to purchase shares (either 20 and 52 weeks) and receive a weekly box of seasonal produce. Delivery to drop-offs in Bedford, Dartmouth and Halifax. See Taproot Farms website for details.   Meat and Fruit shares also available.",NULL
Tatamagouche Farmers' Market,NULL,"Tatamagouche Creamery Building, 41 Creamery Road",Tatamagouche,NULL,BOK IVO,1 (902) 897-4166,NULL,tojlarkc@hotmail.com,http://farmersmarketsnovascotia.ca/find-a-market/tatamagouche/,"Saturdays Feb to May, 8 am -12 noon June to Dec, 8 am - 1 pm",NULL
Terra Beata Farms,Evelyn Ernst,161 Monk Point Road,Lunenburg,Nova Scotia,B0J 2C0,(902) 634-4435,(902) 634-4435,evelyn@cranberryfarm.ca,http://www.cranberryfarm.ca,"Located 10 minutes from Lunenburg the Bog store is now open year-round, Monday to Friday, 8AM to 4PM, with pre-bagged frozen cranberries, pure cranberry juice, lightly sweetened dried cranberries and our full line of farm-made Cranberry Kitchen cranberry preserves.   Frozen berries are available year round. U-Pick cranberries opens on Thanksgiving weekend through October.   For all U-picks please call ahead for hours and season of operation.","Terra Beata, Cranberry Kitchen"
Terries Berries/Terridi Farms,NULL,5037 Highway #2,Colchester County,NULL,B0M 1B0,1 (902) 647-2085,NULL,NULL,NULL,For all U-picks please call ahead for hours and season of operation.,NULL
Terry Corkum Farms,NULL,1176 White Rock Road,Wolfville,NULL,B4P 2R2,1 (902) 542-9708,NULL,tgcorkum@eastlink.ca,NULL,NULL,NULL
That Dutchman's Farm,Willem & Maja van den Hoek,112 Brown Road,Upper Economy,NULL,B0M 1J0,NULL,NULL,cheese@thatdutchmansfarm.com,http://www.thatdutchmansfarm.com,NULL,That Dutchman\\'s Cheese Farm
The Bayside Garden Centre,NULL,9657 Trans Canada Hwy,Whycocomagh,Nova Scotia,B0E 3M0,(902) 756-4444,NULL,NULL,http://www.thebaysidegardencentre.com,NULL,NULL
The Bridgewater Farmers' Market,NULL,685 King Street,Bridgewater,Nova Scotia,NULL,NULL,NULL,NULL,NULL,"Saturday, 9 am - 1 pm June early June to early October",NULL
The Cake Lady,Ingrid Dunsworth,188 Southwest Cove,Hubbards,NULL,B0J 1T0,1 (902) 277-2736,NULL,ingrid@cakeladyingrid.com,http://www.cakeladyingrid.com,Seaport Farmers Market,NULL
The Cider House Co. Ltd.,Hanspeter Stutz,11611 Hwy. 1,Grand Pre,NULL,B0P 1M0,(902) 542-1753,(902) 542-0060,mail@grandprewines.ns.ca,http://www.stutzcider.com,NULL,Stutz
The Farm Gate,NULL,7693 Hwy #2,Great Village,Nova Scotia,B0M 1L0,1 (902) 668-2494,NULL,NULL,NULL,"8:00 AM - 8:30 PM  7 days a week, open all year",NULL
The Farmer's Daughter Country Market,NULL,9393 Highway 105,Whycocomgh,Nova Scotia,B0E 3M0,(902) 756-9042,NULL,NULL,https://www.thefarmersdaughtercountrymarket.ca/,NULL,NULL
The Garrison House,NULL,350 St George St,Annapolis Royal,Nova Scotia,B0S 1A0,1 (902) 532-5750,NULL,NULL,NULL,NULL,NULL
The Grainery Food Co-op,NULL,2385 Agricola Street,Haifax,Nova Scotia,B3K 4B8,(902) 446-3301,NULL,grainerystore@gmail.com,https://thegrainery.ca/about,Tuesday - Friday  2:30 PM - 6:30 PM Saturday 10:00 AM - 2:00 PM,NULL
The Hive Market,Giselle Bryan,506 Tower Road,Halifax,Nova Scotia,B3H 2X3,1 (506) 478-2359,NULL,contact@thehive.market,https://thehive.market,NULL,NULL
The Little Bee Farm,Ben Little or Amanda Cole,17 Clipper Drive,Bridgewater,Nova Scotia,B4V 3S7,1 (902) 543-6756,NULL,cosmo123@eastlink.ca,NULL,NULL,NULL
The Pork Shop,NULL,2578 Westville Road,New Glasgow,Nova Scotia,B2H 5C6,1 (902) 755-3260,NULL,http://www.theporkshop.ca/index.php/contact-us,http://theporkshop.ca/,"New Glasgow  Monday to Friday: 9am- 6pm  Saturday: 9am- 5pm  Sunday: 12pm- 5pm  Denmark Victoria Day to Thanksgiving Monday to Saturday: 9am- 5pm Sunday: 12pm- 5pm  Spring and Fall Friday to Saturday: 9am-5pm Sunday: 12pm-5pm  Closed January, February and March",NULL
The Trainyard General Store,Jason MacDonald,53 Portland Street,Dartmouth,Nova Scotia,B2Y1H1,1 (902) 407-5242,NULL,trainyardstore@gmail.com,http://trainyardstore.com,Tues-Sat: 10-4 Sun-Mon: Closed,NULL
The Vegetorium Country Farm Market,Jason or Maria Simpson,2900 Hwy #2,Fall River,Nova Scotia,B2T 1W4,1 (902) 860-2131,NULL,vegetorium@eastlink.ca,NULL,"Open Year Round, 7 days a week May 1 - October 31: 9am - 8pm Nov 1 - April 30: 9am - 7pm",NULL
The Wool Room at Aspen Grove Farm,Jacqueline MacDonald,756 Tompkin Rd,New Germany RR2,Nova Scotia,B0R 1E0,(902) 523-3822,NULL,aspengrovesheep@gmail.com,http://aspengrovesheep.com,"July-October Hours:  Monday-Saturday, 10 am - 4 pm. Sunday, 1 pm - 4 pm  November-December & May-June Hours: Thursday-Sunday, 1 pm - 4 pm. And by chance or appointment.   January-February Hours Saturday-Sunday, 1 pm - 4 pm And by chance or appointment.",NULL
Thompson's Berries,"Lawson Thompson, Bessie Thompson","5371 Wentorth Collingwood Road, RR #2 Westchester",Cumberland,NULL,B0M 2A0,(902) 548-2280,(902) 548-2218,NULL,NULL,NULL,Thompson's Berries
Thousand Hills Farm,Kevin Hamilton,375 Highway 340,Hebron,Nova Scotia,B5A 5N1,1 (902) 746-0835,NULL,kevham55@gmail.com,NULL,NULL,NULL
Thyme for Ewe Farm,Tim or Estelle,784 King Grove Road,Millville,Nova Scotia,B1Y 2E9,(902) 674-2885,NULL,thymeforewefarm@gmail.com,http://Thymeforewefarm.com,year round at the farmers market,NULL
Tideview Cider,NULL,10009 Hwy 1,Greenwich,NULL,B4P 2R2,NULL,NULL,NULL,http://tideviewcider.ca/,"Available at NSLC, private liquor stores, and select restaurants and pubs.   Visit Tideview Cider website for details.",NULL
Tipsy Toad Grove Farm / Tipsy Toad Soaps,Sue Earle,579 Messenger Rd.,Tremont,Nova Scotia,b0p 1r0,(902) 825-9057,NULL,sue@tipsytoadgrove.com,NULL,by appointment,NULL
Tony Overmars Farms Ltd.,"Paul Overmars, Andrea Overmars",RR # 3 St. Andrews,St. Andrews,Nova Scotia,B0H 1X0,1 (902) 863-4480,1 (902) 863-6065,NULL,NULL,Local producer of eggs. We sell from the farm gate. Monday to Friday 8-6 and Saturday 8-4:30,NULL
Tony's Meats,"Aaron Tingley, Dan MacGillivary",475 Landing Rd.,Antigonish,Nova Scotia,B2G 2L2,(902) 863-1545,(902) 863-9313,info@tonys-meats.com,http://www.tonys-meats.com,NULL,Tony's Meats
Trider's Craft Beer,contact@triderscraftbeer.com,46 Anson Avenue Unit 3,Amherst,Nova Scotia,B4H 4R2,(902) 614-8983,NULL,contact@triderscraftbeer.com,http://www.triderscraftbeer.ca,NULL,NULL
Truro Farmers Market Cooperative,"Margaret Congdon, Manager",15 Young Street,Truro,Nova Scotia,B2N 3W3,1 (902) 843-4004,NULL,trurofarmersmarket@gmail.com,http://www.trurofarmersmarket.org,8:00 am to 1:00 pm Saturdays,NULL
